id,城市,时间,温度,体感温度,天气情况,风力等级,湿度,能见度
25,崇明,2024-02-27T16:48+08:00,7.0,4.0,阴,2,69.0,15.0
26,徐家汇,2024-02-27T16:48+08:00,9.0,7.0,阴,0,49.0,11.0
27,浦东,2024-02-27T16:48+08:00,9.0,7.0,阴,1,49.0,11.0
28,天津,2024-02-27T16:48+08:00,6.0,3.0,多云,2,33.0,14.0
29,武清,2024-02-27T16:48+08:00,6.0,2.0,晴,2,30.0,15.0
30,宝坻,2024-02-27T16:48+08:00,5.0,1.0,晴,1,28.0,16.0
31,东丽,2024-02-27T16:48+08:00,5.0,1.0,多云,2,40.0,21.0
32,西青,2024-02-27T16:48+08:00,6.0,1.0,多云,2,35.0,14.0
33,北辰,2024-02-27T16:48+08:00,6.0,2.0,多云,1,31.0,15.0
34,宁河,2024-02-27T16:48+08:00,3.0,-1.0,多云,3,44.0,30.0
35,汉沽,2024-02-27T16:48+08:00,6.0,3.0,多云,3,33.0,14.0
36,静海,2024-02-27T16:48+08:00,7.0,3.0,多云,2,37.0,14.0
37,津南,2024-02-27T16:48+08:00,3.0,-1.0,多云,3,52.0,26.0
38,塘沽,2024-02-27T16:48+08:00,2.0,-4.0,多云,3,59.0,26.0
39,大港,2024-02-27T16:48+08:00,6.0,3.0,多云,3,33.0,14.0
40,蓟县,2024-02-27T16:48+08:00,4.0,1.0,晴,1,34.0,17.0
41,重庆,2024-02-27T16:48+08:00,11.0,8.0,阴,2,56.0,15.0
42,永川,2024-02-27T16:48+08:00,10.0,7.0,阴,2,63.0,9.0
43,合川,2024-02-27T16:48+08:00,9.0,5.0,阴,3,68.0,10.0
44,南川,2024-02-27T16:45+08:00,8.0,5.0,阴,1,50.0,16.0
45,江津,2024-02-27T16:48+08:00,11.0,9.0,阴,2,60.0,9.0
46,渝北,2024-02-27T16:48+08:00,8.0,3.0,阴,2,61.0,14.0
47,北碚,2024-02-27T16:48+08:00,11.0,9.0,多云,2,55.0,14.0
48,巴南,2024-02-27T16:48+08:00,9.0,6.0,阴,1,63.0,12.0
49,长寿,2024-02-27T16:48+08:00,10.0,8.0,阴,1,53.0,14.0
50,黔江,2024-02-27T16:47+08:00,6.0,2.0,阴,1,59.0,16.0
51,万州,2024-02-27T16:48+08:00,9.0,7.0,阴,2,52.0,18.0
52,涪陵,2024-02-27T16:48+08:00,10.0,6.0,阴,1,52.0,12.0
53,城口,2024-02-27T16:49+08:00,6.0,4.0,阴,1,56.0,16.0
54,云阳,2024-02-27T16:48+08:00,11.0,9.0,阴,1,44.0,16.0
55,巫溪,2024-02-27T16:48+08:00,11.0,8.0,阴,1,42.0,19.0
56,奉节,2024-02-27T16:48+08:00,10.0,8.0,阴,1,43.0,20.0
57,巫山,2024-02-27T16:47+08:00,10.0,5.0,阴,2,47.0,16.0
58,潼南,2024-02-27T16:48+08:00,10.0,6.0,阴,3,56.0,8.0
59,垫江,2024-02-27T16:48+08:00,10.0,8.0,阴,1,53.0,11.0
60,梁平,2024-02-27T16:48+08:00,10.0,8.0,阴,2,55.0,18.0
61,忠县,2024-02-27T16:48+08:00,11.0,9.0,阴,1,46.0,22.0
62,石柱,2024-02-27T16:48+08:00,7.0,2.0,阴,3,57.0,15.0
63,大足,2024-02-27T16:48+08:00,8.0,4.0,阴,2,65.0,11.0
64,荣昌,2024-02-27T16:48+08:00,11.0,9.0,阴,2,60.0,13.0
65,铜梁,2024-02-27T16:48+08:00,10.0,7.0,阴,2,62.0,10.0
66,璧山,2024-02-27T16:48+08:00,11.0,7.0,阴,2,56.0,13.0
67,丰都,2024-02-27T16:48+08:00,10.0,8.0,阴,1,52.0,22.0
68,武隆,2024-02-27T16:48+08:00,8.0,5.0,阴,2,57.0,11.0
69,彭水,2024-02-27T16:48+08:00,8.0,5.0,阴,1,56.0,10.0
70,綦江,2024-02-27T16:48+08:00,10.0,7.0,阴,2,52.0,23.0
71,酉阳,2024-02-27T16:48+08:00,4.0,1.0,阴,2,64.0,12.0
72,秀山,2024-02-27T16:48+08:00,7.0,3.0,阴,1,51.0,12.0
73,哈尔滨,2024-02-27T16:48+08:00,-6.0,-10.0,多云,2,64.0,30.0
74,齐齐哈尔,2024-02-27T16:49+08:00,-7.0,-11.0,多云,1,45.0,23.0
75,牡丹江,2024-02-27T16:48+08:00,-4.0,-7.0,多云,1,41.0,11.0
76,佳木斯,2024-02-27T16:48+08:00,-7.0,-12.0,多云,2,62.0,19.0
77,绥化,2024-02-27T16:48+08:00,-5.0,-8.0,多云,2,45.0,30.0
78,黑河,2024-02-27T16:48+08:00,-12.0,-15.0,晴,1,53.0,25.0
79,大兴安岭,2024-02-27T16:48+08:00,-12.0,-17.0,晴,2,70.0,12.0
80,伊春,2024-02-27T16:48+08:00,-4.0,-10.0,阴,3,30.0,30.0
81,大庆,2024-02-27T16:48+08:00,-6.0,-10.0,多云,3,42.0,30.0
82,七台河,2024-02-27T16:48+08:00,-6.0,-11.0,多云,3,47.0,30.0
83,鸡西,2024-02-27T16:48+08:00,-6.0,-13.0,晴,3,54.0,30.0
84,鹤岗,2024-02-27T16:48+08:00,-8.0,-13.0,多云,2,50.0,30.0
85,双鸭山,2024-02-27T16:48+08:00,-6.0,-11.0,晴,1,55.0,26.0
86,长春,2024-02-27T16:48+08:00,-1.0,-7.0,多云,2,35.0,10.0
87,吉林,2024-02-27T16:49+08:00,1.0,-3.0,多云,2,26.0,25.0
88,延边,2024-02-27T16:48+08:00,0.0,-6.0,多云,4,20.0,18.0
89,四平,2024-02-27T16:48+08:00,0.0,-5.0,多云,3,53.0,14.0
90,通化,2024-02-27T16:48+08:00,3.0,-2.0,多云,2,41.0,15.0
91,白城,2024-02-27T16:48+08:00,-3.0,-6.0,多云,2,29.0,22.0
92,辽源,2024-02-27T16:49+08:00,2.0,-1.0,多云,2,27.0,10.0
93,松原,2024-02-27T16:48+08:00,-4.0,-8.0,阴,1,45.0,10.0
94,白山,2024-02-27T16:48+08:00,2.0,-2.0,多云,2,47.0,19.0
95,沈阳,2024-02-27T16:48+08:00,3.0,-1.0,多云,2,29.0,30.0
96,大连,2024-02-27T16:48+08:00,2.0,-2.0,晴,2,49.0,26.0
97,鞍山,2024-02-27T16:48+08:00,3.0,-1.0,晴,3,31.0,10.0
98,抚顺,2024-02-27T16:48+08:00,3.0,-1.0,多云,3,35.0,9.0
99,本溪,2024-02-27T16:48+08:00,4.0,0.0,多云,2,35.0,30.0
100,丹东,2024-02-27T16:48+08:00,4.0,0.0,多云,3,52.0,23.0
101,锦州,2024-02-27T16:48+08:00,1.0,-3.0,多云,3,56.0,22.0
102,营口,2024-02-27T16:48+08:00,0.0,-5.0,晴,2,56.0,21.0
103,阜新,2024-02-27T16:49+08:00,-2.0,-6.0,阴,1,87.0,7.0
104,辽阳,2024-02-27T16:48+08:00,3.0,0.0,多云,1,31.0,9.0
105,铁岭,2024-02-27T16:48+08:00,2.0,-2.0,多云,2,35.0,18.0
106,盘锦,2024-02-27T16:48+08:00,1.0,-4.0,多云,2,39.0,15.0
107,葫芦岛,2024-02-27T16:48+08:00,1.0,-5.0,多云,3,63.0,22.0
108,呼和浩特,2024-02-27T16:49+08:00,-1.0,-7.0,雨夹雪,3,68.0,17.0
109,包头,2024-02-27T16:48+08:00,1.0,-2.0,晴,1,76.0,5.0
110,乌海,2024-02-27T16:48+08:00,3.0,-2.0,晴,2,29.0,30.0
111,乌兰察布,2024-02-27T16:49+08:00,-4.0,-8.0,阴,2,73.0,13.0
112,通辽,2024-02-27T16:48+08:00,-2.0,-4.0,多云,1,66.0,9.0
113,赤峰,2024-02-27T16:48+08:00,3.0,-2.0,多云,3,39.0,18.0
114,鄂尔多斯,2024-02-27T16:48+08:00,-1.0,-5.0,多云,2,67.0,11.0
115,巴彦淖尔,2024-02-27T16:48+08:00,4.0,0.0,晴,2,23.0,20.0
116,锡林郭勒,2024-02-27T16:48+08:00,-16.0,-22.0,晴,2,72.0,23.0
117,呼伦贝尔,2024-02-27T16:48+08:00,-16.0,-23.0,多云,4,79.0,30.0
118,兴安盟,2024-02-27T16:48+08:00,-2.0,-5.0,多云,1,75.0,13.0
119,阿拉善盟,2024-02-27T16:47+08:00,1.0,0.0,晴,2,38.0,24.0
120,石家庄,2024-02-27T16:48+08:00,8.0,4.0,晴,2,40.0,9.0
121,保定,2024-02-27T16:48+08:00,6.0,3.0,晴,1,49.0,20.0
122,张家口,2024-02-27T16:48+08:00,1.0,-2.0,多云,2,65.0,5.0
123,承德,2024-02-27T16:48+08:00,2.0,-1.0,阴,1,58.0,9.0
124,唐山,2024-02-27T16:48+08:00,4.0,0.0,多云,1,34.0,30.0
125,廊坊,2024-02-27T16:48+08:00,6.0,4.0,晴,1,31.0,17.0
126,沧州,2024-02-27T16:48+08:00,8.0,5.0,晴,2,37.0,12.0
127,衡水,2024-02-27T16:48+08:00,9.0,6.0,晴,2,34.0,15.0
128,邢台,2024-02-27T16:48+08:00,9.0,4.0,晴,3,34.0,10.0
129,邯郸,2024-02-27T16:48+08:00,10.0,7.0,晴,2,34.0,12.0
130,秦皇岛,2024-02-27T16:48+08:00,2.0,-2.0,多云,2,62.0,30.0
131,太原,2024-02-27T16:48+08:00,5.0,2.0,晴,2,46.0,9.0
132,大同,2024-02-27T16:47+08:00,2.0,-3.0,多云,3,44.0,10.0
133,阳泉,2024-02-27T16:38+08:00,7.0,4.0,晴,1,39.0,26.0
134,晋中,2024-02-27T16:48+08:00,5.0,2.0,晴,1,49.0,9.0
135,长治,2024-02-27T16:48+08:00,3.0,0.0,晴,2,45.0,15.0
136,晋城,2024-02-27T16:47+08:00,4.0,-1.0,晴,2,44.0,9.0
137,临汾,2024-02-27T16:47+08:00,7.0,4.0,晴,2,43.0,10.0
138,运城,2024-02-27T16:47+08:00,11.0,9.0,多云,1,30.0,20.0
139,朔州,2024-02-27T16:48+08:00,3.0,-1.0,晴,2,52.0,14.0
140,忻州,2024-02-27T16:48+08:00,3.0,0.0,晴,1,62.0,5.0
141,吕梁,2024-02-27T16:48+08:00,4.0,1.0,晴,2,48.0,10.0
142,西安,2024-02-27T16:48+08:00,8.0,4.0,多云,1,42.0,12.0
143,咸阳,2024-02-27T16:48+08:00,8.0,5.0,多云,2,44.0,9.0
144,延安,2024-02-27T16:48+08:00,6.0,4.0,多云,2,48.0,8.0
145,榆林,2024-02-27T16:48+08:00,3.0,0.0,多云,1,52.0,8.0
146,渭南,2024-02-27T16:48+08:00,6.0,3.0,多云,1,48.0,11.0
147,商洛,2024-02-27T16:48+08:00,8.0,2.0,多云,3,39.0,21.0
148,安康,2024-02-27T16:48+08:00,10.0,8.0,阴,1,39.0,30.0
149,汉中,2024-02-27T16:48+08:00,7.0,5.0,阴,1,53.0,26.0
150,宝鸡,2024-02-27T16:49+08:00,6.0,3.0,阴,2,54.0,9.0
151,铜川,2024-02-27T16:47+08:00,5.0,1.0,晴,2,49.0,10.0
152,济南,2024-02-27T16:48+08:00,9.0,6.0,晴,1,27.0,25.0
153,青岛,2024-02-27T16:48+08:00,3.0,0.0,晴,2,64.0,15.0
154,淄博,2024-02-27T16:48+08:00,9.0,7.0,晴,1,27.0,16.0
155,德州,2024-02-27T16:48+08:00,9.0,5.0,晴,2,34.0,14.0
156,烟台,2024-02-27T16:48+08:00,1.0,-3.0,晴,3,65.0,9.0
157,潍坊,2024-02-27T16:48+08:00,6.0,3.0,晴,2,28.0,22.0
158,济宁,2024-02-27T16:48+08:00,8.0,5.0,晴,2,39.0,13.0
159,泰安,2024-02-27T16:48+08:00,8.0,5.0,晴,2,31.0,12.0
160,临沂,2024-02-27T16:48+08:00,7.0,4.0,晴,2,35.0,13.0
161,菏泽,2024-02-27T16:48+08:00,8.0,5.0,晴,2,34.0,17.0
162,滨州,2024-02-27T16:48+08:00,8.0,5.0,晴,2,25.0,18.0
163,东营,2024-02-27T16:48+08:00,4.0,0.0,晴,2,43.0,23.0
164,威海,2024-02-27T16:48+08:00,2.0,-1.0,晴,2,65.0,14.0
165,枣庄,2024-02-27T16:47+08:00,7.0,4.0,晴,1,31.0,16.0
166,日照,2024-02-27T16:48+08:00,3.0,-1.0,晴,2,74.0,11.0
167,莱芜,2024-02-27T16:45+08:00,7.0,4.0,晴,1,25.0,14.0
168,聊城,2024-02-27T16:48+08:00,8.0,4.0,晴,3,32.0,12.0
169,乌鲁木齐,2024-02-27T16:48+08:00,-10.0,-15.0,晴,2,69.0,3.0
170,克拉玛依,2024-02-27T16:48+08:00,-8.0,-12.0,晴,2,65.0,21.0
171,石河子,2024-02-27T16:48+08:00,-8.0,-11.0,霾,1,69.0,3.0
172,昌吉,2024-02-27T16:46+08:00,-9.0,-13.0,晴,2,68.0,16.0
173,吐鲁番,2024-02-27T16:48+08:00,7.0,4.0,晴,2,18.0,12.0
174,巴州,2024-02-27T16:47+08:00,4.0,0.0,浮尘,2,37.0,16.0
175,阿拉尔,2024-02-27T16:47+08:00,5.0,2.0,晴,1,30.0,6.0
176,阿克苏,2024-02-27T16:48+08:00,5.0,1.0,浮尘,2,33.0,5.0
177,喀什,2024-02-27T16:46+08:00,6.0,2.0,多云,2,32.0,7.0
178,伊犁,2024-02-27T16:48+08:00,-1.0,-5.0,晴,2,62.0,6.0
179,塔城,2024-02-27T16:48+08:00,-8.0,-13.0,晴,2,65.0,19.0
180,哈密,2024-02-27T16:47+08:00,2.0,-2.0,晴,1,22.0,19.0
181,和田,2024-02-27T16:48+08:00,5.0,2.0,浮尘,1,38.0,6.0
182,阿勒泰,2024-02-27T16:48+08:00,-12.0,-16.0,晴,1,64.0,16.0
183,克州,2024-02-27T16:47+08:00,4.0,1.0,浮尘,1,30.0,6.0
184,博州,2024-02-27T16:48+08:00,-6.0,-9.0,晴,2,62.0,6.0
185,拉萨,2024-02-27T16:48+08:00,12.0,8.0,多云,2,4.0,30.0
186,日喀则,2024-02-27T16:48+08:00,10.0,4.0,阴,4,8.0,30.0
187,山南,2024-02-27T16:47+08:00,11.0,5.0,多云,3,7.0,30.0
188,林芝,2024-02-27T16:45+08:00,9.0,5.0,阴,2,24.0,30.0
189,昌都,2024-02-27T16:47+08:00,11.0,8.0,多云,2,6.0,30.0
190,那曲,2024-02-27T16:47+08:00,2.0,-4.0,多云,4,9.0,30.0
191,阿里,2024-02-27T16:47+08:00,0.0,-6.0,多云,5,26.0,30.0
192,西宁,2024-02-27T16:48+08:00,2.0,-4.0,晴,3,39.0,10.0
193,海东,2024-02-27T16:48+08:00,2.0,-7.0,晴,4,44.0,8.0
194,黄南,2024-02-27T16:49+08:00,5.0,0.0,晴,3,28.0,15.0
195,海南,2024-02-27T16:47+08:00,6.0,1.0,晴,4,13.0,30.0
196,果洛,2024-02-27T16:47+08:00,2.0,-8.0,多云,5,21.0,18.0
197,玉树,2024-02-27T16:48+08:00,5.0,-1.0,多云,3,26.0,23.0
198,海西,2024-02-27T16:48+08:00,1.0,-4.0,晴,1,17.0,20.0
199,海北,2024-02-27T16:48+08:00,-2.0,-4.0,晴,1,15.0,30.0
200,兰州,2024-02-27T16:48+08:00,3.0,-1.0,多云,2,51.0,9.0
201,定西,2024-02-27T16:48+08:00,-2.0,-6.0,晴,3,81.0,13.0
202,平凉,2024-02-27T16:48+08:00,0.0,-3.0,多云,1,74.0,5.0
203,庆阳,2024-02-27T16:48+08:00,0.0,-3.0,晴,1,76.0,6.0
204,武威,2024-02-27T16:46+08:00,3.0,-2.0,多云,2,36.0,16.0
205,金昌,2024-02-27T16:48+08:00,3.0,0.0,晴,2,37.0,15.0
206,张掖,2024-02-27T16:49+08:00,3.0,-1.0,晴,3,33.0,14.0
207,酒泉,2024-02-27T16:48+08:00,0.0,-5.0,晴,2,46.0,19.0
208,天水,2024-02-27T16:49+08:00,3.0,0.0,多云,1,58.0,20.0
209,陇南,2024-02-27T16:49+08:00,6.0,3.0,多云,1,52.0,30.0
210,临夏,2024-02-27T16:48+08:00,2.0,-1.0,多云,1,54.0,22.0
211,甘南,2024-02-27T16:48+08:00,2.0,-5.0,多云,5,29.0,19.0
212,白银,2024-02-27T16:48+08:00,2.0,-1.0,多云,1,55.0,30.0
213,嘉峪关,2024-02-27T16:48+08:00,-2.0,-6.0,晴,3,53.0,13.0
214,银川,2024-02-27T16:48+08:00,4.0,0.0,多云,1,47.0,4.0
215,石嘴山,2024-02-27T16:48+08:00,3.0,-1.0,多云,2,41.0,11.0
216,吴忠,2024-02-27T16:48+08:00,4.0,-1.0,多云,3,47.0,8.0
217,固原,2024-02-27T16:48+08:00,-1.0,-4.0,多云,2,76.0,5.0
218,中卫,2024-02-27T16:48+08:00,4.0,0.0,多云,2,44.0,6.0
219,郑州,2024-02-27T16:48+08:00,8.0,4.0,晴,3,37.0,13.0
220,安阳,2024-02-27T16:48+08:00,9.0,4.0,晴,3,35.0,10.0
221,新乡,2024-02-27T16:48+08:00,9.0,4.0,晴,3,38.0,13.0
222,许昌,2024-02-27T16:48+08:00,7.0,3.0,多云,3,45.0,10.0
223,平顶山,2024-02-27T16:48+08:00,7.0,2.0,多云,3,39.0,20.0
224,信阳,2024-02-27T16:48+08:00,8.0,5.0,阴,3,40.0,13.0
225,南阳,2024-02-27T16:48+08:00,8.0,4.0,阴,1,41.0,9.0
226,开封,2024-02-27T16:48+08:00,8.0,3.0,晴,4,39.0,13.0
227,洛阳,2024-02-27T16:48+08:00,8.0,5.0,多云,2,39.0,10.0
228,商丘,2024-02-27T16:48+08:00,7.0,3.0,晴,2,45.0,30.0
229,焦作,2024-02-27T16:49+08:00,7.0,4.0,晴,2,41.0,9.0
230,鹤壁,2024-02-27T16:48+08:00,8.0,3.0,晴,3,44.0,12.0
231,濮阳,2024-02-27T16:48+08:00,8.0,4.0,晴,2,43.0,11.0
232,周口,2024-02-27T16:48+08:00,8.0,5.0,多云,1,35.0,18.0
233,漯河,2024-02-27T16:48+08:00,8.0,6.0,多云,1,42.0,11.0
234,驻马店,2024-02-27T16:48+08:00,8.0,4.0,阴,2,40.0,9.0
235,三门峡,2024-02-27T16:48+08:00,7.0,0.0,多云,4,44.0,9.0
236,济源,2024-02-27T16:48+08:00,9.0,6.0,晴,1,41.0,15.0
237,南京,2024-02-27T16:47+08:00,7.0,3.0,晴,2,43.0,18.0
238,无锡,2024-02-27T16:48+08:00,8.0,5.0,阴,1,46.0,9.0
239,镇江,2024-02-27T16:48+08:00,7.0,3.0,阴,2,45.0,12.0
240,苏州,2024-02-27T16:47+08:00,7.0,3.0,晴,2,52.0,13.0
241,南通,2024-02-27T16:48+08:00,6.0,2.0,晴,3,63.0,15.0
242,扬州,2024-02-27T16:47+08:00,6.0,4.0,阴,1,48.0,15.0
243,盐城,2024-02-27T16:47+08:00,6.0,3.0,阴,2,50.0,14.0
244,徐州,2024-02-27T16:48+08:00,8.0,5.0,晴,1,34.0,13.0
245,淮安,2024-02-27T16:48+08:00,7.0,3.0,晴,2,54.0,12.0
246,连云港,2024-02-27T16:48+08:00,5.0,1.0,晴,3,73.0,7.0
247,常州,2024-02-27T16:48+08:00,8.0,5.0,晴,1,46.0,14.0
248,泰州,2024-02-27T16:48+08:00,7.0,4.0,阴,2,42.0,15.0
249,宿迁,2024-02-27T16:48+08:00,5.0,2.0,晴,2,55.0,10.0
250,武汉,2024-02-27T16:48+08:00,8.0,5.0,晴,1,53.0,7.0
251,襄阳,2024-02-27T16:48+08:00,8.0,5.0,晴,2,27.0,22.0
252,鄂州,2024-02-27T16:48+08:00,6.0,4.0,晴,2,61.0,7.0
253,孝感,2024-02-27T16:49+08:00,9.0,6.0,晴,2,41.0,9.0
254,黄冈,2024-02-27T16:48+08:00,8.0,5.0,晴,2,55.0,8.0
255,黄石,2024-02-27T16:48+08:00,7.0,5.0,晴,1,60.0,5.0
256,咸宁,2024-02-27T16:48+08:00,5.0,4.0,晴,1,67.0,6.0
257,荆州,2024-02-27T16:48+08:00,8.0,5.0,晴,2,43.0,12.0
258,宜昌,2024-02-27T16:48+08:00,9.0,5.0,晴,2,41.0,10.0
259,恩施,2024-02-27T16:48+08:00,7.0,4.0,阴,1,59.0,11.0
260,十堰,2024-02-27T16:48+08:00,10.0,7.0,晴,2,30.0,21.0
261,神农架,2024-02-27T16:48+08:00,6.0,2.0,多云,2,48.0,14.0
262,随州,2024-02-27T16:48+08:00,9.0,5.0,晴,2,37.0,11.0
263,荆门,2024-02-27T16:48+08:00,8.0,4.0,晴,3,43.0,10.0
264,天门,2024-02-27T16:48+08:00,8.0,5.0,晴,2,42.0,12.0
265,仙桃,2024-02-27T16:48+08:00,6.0,3.0,晴,2,54.0,8.0
266,潜江,2024-02-27T16:48+08:00,8.0,5.0,晴,1,48.0,21.0
267,杭州,2024-02-27T16:49+08:00,9.0,6.0,多云,2,51.0,9.0
268,湖州,2024-02-27T16:48+08:00,6.0,1.0,阴,2,55.0,15.0
269,嘉兴,2024-02-27T16:48+08:00,8.0,6.0,晴,1,53.0,9.0
270,宁波,2024-02-27T16:48+08:00,8.0,4.0,晴,2,61.0,16.0
271,绍兴,2024-02-27T16:47+08:00,8.0,4.0,多云,3,58.0,10.0
272,台州,2024-02-27T16:48+08:00,9.0,5.0,晴,3,64.0,11.0
273,温州,2024-02-27T16:48+08:00,11.0,10.0,阴,1,54.0,27.0
274,丽水,2024-02-27T16:48+08:00,6.0,2.0,阴,3,68.0,6.0
275,金华,2024-02-27T16:49+08:00,7.0,4.0,阴,1,61.0,5.0
276,衢州,2024-02-27T16:48+08:00,7.0,1.0,阴,2,65.0,6.0
277,舟山,2024-02-27T16:48+08:00,8.0,4.0,晴,2,65.0,19.0
278,合肥,2024-02-27T16:47+08:00,7.0,4.0,多云,2,36.0,18.0
279,蚌埠,2024-02-27T16:48+08:00,7.0,3.0,晴,3,40.0,28.0
280,芜湖,2024-02-27T16:48+08:00,8.0,5.0,多云,2,45.0,19.0
281,淮南,2024-02-27T16:48+08:00,7.0,3.0,晴,2,49.0,25.0
282,马鞍山,2024-02-27T16:48+08:00,8.0,5.0,多云,2,46.0,17.0
283,安庆,2024-02-27T16:48+08:00,8.0,4.0,多云,3,52.0,19.0
284,宿州,2024-02-27T16:48+08:00,6.0,3.0,晴,2,48.0,22.0
285,阜阳,2024-02-27T16:47+08:00,7.0,4.0,晴,2,34.0,19.0
286,亳州,2024-02-27T16:48+08:00,8.0,5.0,晴,2,37.0,17.0
287,黄山,2024-02-27T16:48+08:00,6.0,4.0,晴,2,72.0,9.0
288,滁州,2024-02-27T16:48+08:00,7.0,3.0,晴,2,45.0,20.0
289,淮北,2024-02-27T16:48+08:00,8.0,6.0,晴,0,39.0,20.0
290,铜陵,2024-02-27T16:48+08:00,8.0,4.0,多云,3,57.0,13.0
291,宣城,2024-02-27T16:48+08:00,8.0,5.0,阴,2,56.0,16.0
292,六安,2024-02-27T16:47+08:00,7.0,4.0,多云,2,50.0,17.0
293,池州,2024-02-27T17:00+08:00,8.0,3.0,多云,3,53.0,10.0
294,福州,2024-02-27T17:00+08:00,10.0,9.0,阴,1,73.0,4.0
295,厦门,2024-02-27T17:00+08:00,13.0,9.0,多云,3,70.0,22.0
296,宁德,2024-02-27T17:00+08:00,10.0,9.0,阴,0,71.0,20.0
297,莆田,2024-02-27T17:00+08:00,11.0,8.0,多云,3,66.0,23.0
298,泉州,2024-02-27T17:00+08:00,12.0,5.0,多云,5,58.0,17.0
299,漳州,2024-02-27T17:00+08:00,15.0,12.0,多云,3,62.0,11.0
300,龙岩,2024-02-27T17:00+08:00,12.0,10.0,阴,2,71.0,26.0
301,三明,2024-02-27T17:00+08:00,8.0,5.0,阴,2,87.0,10.0
302,南平,2024-02-27T17:00+08:00,8.0,6.0,阴,1,82.0,13.0
303,南昌,2024-02-27T17:00+08:00,7.0,5.0,多云,1,67.0,8.0
304,九江,2024-02-27T17:00+08:00,6.0,3.0,阴,1,64.0,6.0
305,上饶,2024-02-27T17:00+08:00,6.0,4.0,阴,2,74.0,7.0
306,抚州,2024-02-27T17:00+08:00,5.0,3.0,阴,2,80.0,8.0
307,宜春,2024-02-27T17:00+08:00,5.0,3.0,阴,1,73.0,8.0
308,吉安,2024-02-27T17:00+08:00,5.0,3.0,阴,1,73.0,11.0
309,赣州,2024-02-27T17:00+08:00,4.0,2.0,阴,1,93.0,9.0
310,景德镇,2024-02-27T17:00+08:00,7.0,5.0,阴,1,70.0,12.0
311,萍乡,2024-02-27T17:00+08:00,4.0,2.0,阴,1,91.0,5.0
312,新余,2024-02-27T17:00+08:00,4.0,1.0,晴,2,73.0,30.0
313,鹰潭,2024-02-27T17:00+08:00,6.0,3.0,晴,1,81.0,10.0
314,长沙,2024-02-27T17:00+08:00,7.0,4.0,多云,1,62.0,16.0
315,湘潭,2024-02-27T17:00+08:00,6.0,4.0,阴,1,75.0,10.0
316,株洲,2024-02-27T17:00+08:00,6.0,5.0,阴,1,75.0,30.0
317,衡阳,2024-02-27T17:00+08:00,5.0,3.0,阴,2,79.0,5.0
318,郴州,2024-02-27T17:00+08:00,3.0,1.0,多云,1,97.0,2.0
319,常德,2024-02-27T17:00+08:00,7.0,3.0,晴,2,52.0,8.0
320,益阳,2024-02-27T17:00+08:00,6.0,2.0,晴,1,52.0,9.0
321,娄底,2024-02-27T17:00+08:00,6.0,3.0,多云,2,54.0,11.0
322,邵阳,2024-02-27T17:00+08:00,6.0,4.0,晴,1,60.0,11.0
323,岳阳,2024-02-27T17:00+08:00,6.0,3.0,晴,1,63.0,5.0
324,张家界,2024-02-27T17:00+08:00,8.0,6.0,多云,1,41.0,13.0
325,怀化,2024-02-27T17:00+08:00,8.0,6.0,多云,3,55.0,14.0
326,永州,2024-02-27T17:00+08:00,5.0,3.0,阴,1,73.0,7.0
