id,城市,观测时间,最高温度,最低温度,白天天气状况,晚间天气状况,白天风力,夜间风力,降水量,紫外线,湿度,能见度,云量
63,津南,2024-02-25,5.0,-4.0,晴,晴,1-3,1-3,0.0,4.0,49.0,25.0,9.0
64,通州,2024-02-29,7.0,-8.0,多云,晴,1-3,1-3,0.0,4.0,23.0,25.0,18.0
65,垫江,2024-02-27,12.0,5.0,多云,晴,1-3,1-3,0.0,2.0,83.0,24.0,25.0
66,通州,2024-03-01,5.0,-7.0,晴,晴,1-3,1-3,0.0,4.0,43.0,25.0,23.0
67,昌平,2024-02-24,6.0,-4.0,多云,晴,1-3,1-3,0.0,2.0,46.0,25.0,10.0
68,昌平,2024-02-25,9.0,-5.0,晴,多云,1-3,1-3,0.0,4.0,57.0,25.0,18.0
69,垫江,2024-02-28,11.0,5.0,多云,小雨,1-3,1-3,1.0,1.0,90.0,25.0,55.0
70,昌平,2024-02-26,5.0,-5.0,多云,多云,1-3,1-3,0.0,2.0,76.0,17.0,20.0
71,垫江,2024-02-29,11.0,5.0,多云,小雨,1-3,1-3,1.0,1.0,91.0,21.0,55.0
72,昌平,2024-02-27,5.0,-4.0,多云,多云,1-3,1-3,0.0,4.0,55.0,24.0,11.0
73,垫江,2024-03-01,11.0,2.0,多云,多云,1-3,1-3,1.0,1.0,86.0,24.0,55.0
74,昌平,2024-02-28,6.0,-4.0,多云,多云,1-3,1-3,0.0,1.0,40.0,25.0,25.0
75,昌平,2024-02-29,6.0,-8.0,多云,晴,1-3,1-3,0.0,4.0,24.0,25.0,16.0
76,梁平,2024-02-24,5.0,1.0,阴,阴,1-3,1-3,0.0,1.0,80.0,25.0,25.0
77,门头沟,2024-02-24,5.0,-3.0,多云,晴,1-3,1-3,0.0,2.0,47.0,25.0,9.0
78,梁平,2024-02-25,8.0,2.0,多云,阴,1-3,1-3,0.0,3.0,88.0,24.0,25.0
79,门头沟,2024-02-25,9.0,-3.0,晴,多云,1-3,1-3,0.0,4.0,55.0,25.0,17.0
80,昌平,2024-03-01,5.0,-6.0,晴,晴,1-3,1-3,0.0,4.0,34.0,25.0,23.0
81,梁平,2024-02-26,9.0,3.0,多云,阴,1-3,1-3,0.0,2.0,80.0,24.0,25.0
82,延庆,2024-02-24,2.0,-10.0,多云,晴,1-3,1-3,0.0,1.0,58.0,25.0,6.0
83,门头沟,2024-02-26,4.0,-4.0,多云,多云,1-3,1-3,0.0,2.0,68.0,24.0,20.0
84,门头沟,2024-02-27,5.0,-3.0,多云,多云,1-3,1-3,0.0,4.0,51.0,24.0,20.0
85,延庆,2024-02-25,5.0,-9.0,晴,多云,1-3,1-3,0.0,4.0,57.0,25.0,4.0
86,门头沟,2024-02-28,6.0,-3.0,多云,多云,1-3,1-3,0.0,1.0,38.0,25.0,25.0
87,延庆,2024-02-26,2.0,-8.0,多云,多云,1-3,1-3,0.0,2.0,87.0,6.0,20.0
88,延庆,2024-02-27,2.0,-9.0,多云,多云,1-3,1-3,0.0,4.0,66.0,24.0,15.0
89,门头沟,2024-02-29,6.0,-4.0,多云,晴,1-3,1-3,0.0,4.0,24.0,25.0,13.0
90,延庆,2024-02-28,2.0,-9.0,多云,多云,1-3,1-3,0.0,1.0,51.0,25.0,0.0
91,门头沟,2024-03-01,4.0,-4.0,晴,晴,1-3,1-3,0.0,4.0,36.0,25.0,24.0
92,平谷,2024-02-24,6.0,-6.0,多云,晴,1-3,1-3,0.0,1.0,45.0,25.0,5.0
93,延庆,2024-02-29,3.0,-14.0,多云,晴,1-3,1-3,0.0,4.0,31.0,25.0,3.0
94,津南,2024-02-26,4.0,-4.0,多云,多云,1-3,1-3,0.0,2.0,56.0,25.0,10.0
95,津南,2024-02-27,5.0,-3.0,多云,阴,1-3,1-3,0.0,4.0,62.0,25.0,10.0
96,延庆,2024-03-01,2.0,-11.0,晴,晴,1-3,1-3,0.0,4.0,45.0,25.0,16.0
97,平谷,2024-02-25,8.0,-7.0,晴,多云,1-3,1-3,0.0,4.0,54.0,25.0,17.0
98,丰台,2024-02-24,6.0,-3.0,多云,晴,1-3,1-3,0.0,1.0,47.0,25.0,5.0
99,平谷,2024-02-26,5.0,-8.0,多云,多云,1-3,1-3,0.0,2.0,69.0,22.0,20.0
100,丰台,2024-02-25,9.0,-3.0,晴,多云,1-3,1-3,0.0,4.0,54.0,25.0,19.0
101,丰台,2024-02-26,5.0,-4.0,多云,多云,1-3,1-3,0.0,2.0,59.0,24.0,20.0
102,津南,2024-02-28,6.0,-4.0,阴,多云,1-3,1-3,0.0,2.0,56.0,25.0,23.0
103,平谷,2024-02-27,5.0,-7.0,多云,多云,1-3,1-3,0.0,3.0,72.0,25.0,20.0
104,丰台,2024-02-27,6.0,-4.0,多云,多云,1-3,1-3,0.0,4.0,50.0,24.0,20.0
105,津南,2024-02-29,3.0,-7.0,多云,晴,1-3,1-3,0.0,2.0,23.0,25.0,25.0
106,平谷,2024-02-28,7.0,-8.0,多云,多云,1-3,1-3,0.0,1.0,47.0,25.0,24.0
107,津南,2024-03-01,3.0,-5.0,多云,多云,1-3,3-4,0.0,4.0,40.0,25.0,14.0
108,平谷,2024-02-29,6.0,-5.0,多云,晴,1-3,1-3,0.0,4.0,25.0,25.0,10.0
109,平谷,2024-03-01,5.0,-8.0,晴,晴,1-3,1-3,0.0,4.0,43.0,25.0,25.0
110,梁平,2024-02-27,11.0,4.0,多云,多云,1-3,1-3,0.0,2.0,85.0,25.0,25.0
111,塘沽,2024-02-24,4.0,-5.0,多云,晴,1-3,1-3,0.0,2.0,75.0,24.0,9.0
112,梁平,2024-02-28,10.0,5.0,多云,小雨,1-3,1-3,0.0,1.0,95.0,11.0,25.0
113,塘沽,2024-02-25,4.0,-4.0,晴,晴,1-3,1-3,0.0,4.0,49.0,25.0,15.0
114,塘沽,2024-02-26,2.0,-3.0,多云,多云,1-3,1-3,0.0,2.0,57.0,25.0,20.0
115,上海,2024-02-24,3.0,0.0,小雨,阴,1-3,1-3,2.1,1.0,87.0,24.0,62.0
116,梁平,2024-02-29,10.0,4.0,多云,小雨,1-3,1-3,0.0,1.0,87.0,22.0,25.0
117,塘沽,2024-02-27,4.0,-2.0,多云,阴,1-3,1-3,0.0,4.0,67.0,25.0,10.0
118,上海,2024-02-25,5.0,0.0,阴,阴,1-3,1-3,0.0,5.0,78.0,24.0,25.0
119,梁平,2024-03-01,10.0,3.0,阴,多云,1-3,1-3,0.0,1.0,84.0,24.0,25.0
120,塘沽,2024-02-28,6.0,-2.0,阴,多云,1-3,1-3,0.0,2.0,54.0,25.0,13.0
121,上海,2024-02-26,7.0,4.0,阴,阴,1-3,1-3,0.0,1.0,80.0,25.0,25.0
122,忠县,2024-02-24,6.0,5.0,阴,阴,1-3,1-3,0.0,1.0,80.0,24.0,25.0
123,上海,2024-02-27,11.0,5.0,阴,阴,1-3,1-3,0.0,3.0,88.0,25.0,25.0
124,上海,2024-02-28,11.0,7.0,阴,中雨,1-3,1-3,5.1,1.0,95.0,24.0,80.0
125,塘沽,2024-02-29,3.0,-5.0,多云,晴,1-3,1-3,0.0,1.0,27.0,25.0,25.0
126,忠县,2024-02-25,10.0,5.0,多云,阴,1-3,1-3,0.0,5.0,86.0,24.0,25.0
127,上海,2024-02-29,11.0,4.0,中雨,多云,1-3,1-3,17.4,1.0,74.0,24.0,96.0
128,塘沽,2024-03-01,2.0,-4.0,多云,多云,1-3,3-4,0.0,4.0,40.0,25.0,16.0
129,忠县,2024-02-26,10.0,5.0,多云,阴,1-3,1-3,0.0,1.0,74.0,24.0,25.0
130,大港,2024-02-24,5.0,-2.0,多云,晴,1-3,1-3,0.0,2.0,72.0,24.0,10.0
131,忠县,2024-02-27,11.0,5.0,多云,多云,1-3,1-3,0.0,4.0,77.0,24.0,25.0
132,大港,2024-02-25,6.0,-2.0,晴,晴,1-3,1-3,0.0,4.0,53.0,25.0,9.0
133,丰台,2024-02-28,8.0,-3.0,多云,多云,1-3,1-3,0.0,1.0,35.0,25.0,25.0
134,上海,2024-03-01,8.0,2.0,多云,晴,1-3,1-3,0.0,1.0,62.0,25.0,25.0
135,忠县,2024-02-28,12.0,7.0,小雨,小雨,1-3,1-3,1.0,1.0,91.0,22.0,55.0
136,大港,2024-02-26,4.0,-2.0,多云,多云,1-3,1-3,0.0,2.0,56.0,25.0,20.0
137,忠县,2024-02-29,10.0,7.0,多云,小雨,1-3,1-3,1.0,1.0,87.0,18.0,55.0
138,丰台,2024-02-29,6.0,-2.0,多云,晴,1-3,1-3,0.0,4.0,19.0,25.0,17.0
139,丰台,2024-03-01,5.0,-4.0,晴,晴,1-3,1-3,0.0,4.0,38.0,25.0,23.0
140,石景山,2024-02-24,6.0,-4.0,多云,晴,1-3,1-3,0.0,2.0,47.0,25.0,7.0
141,忠县,2024-03-01,11.0,5.0,阴,多云,1-3,1-3,1.0,1.0,79.0,24.0,55.0
142,石景山,2024-02-25,9.0,-3.0,晴,多云,1-3,1-3,0.0,4.0,53.0,25.0,18.0
143,石柱,2024-02-24,5.0,2.0,多云,阴,1-3,1-3,0.0,1.0,81.0,23.0,25.0
144,石柱,2024-02-25,8.0,3.0,阴,阴,1-3,1-3,0.0,3.0,81.0,20.0,25.0
145,石柱,2024-02-26,10.0,2.0,多云,阴,1-3,1-3,0.0,3.0,80.0,17.0,25.0
146,石景山,2024-02-26,5.0,-4.0,多云,多云,1-3,1-3,0.0,2.0,61.0,24.0,20.0
147,石柱,2024-02-27,11.0,3.0,多云,晴,1-3,1-3,0.0,2.0,82.0,19.0,25.0
148,石景山,2024-02-27,6.0,-4.0,多云,多云,1-3,1-3,0.0,4.0,49.0,24.0,20.0
149,石景山,2024-02-28,7.0,-3.0,多云,多云,1-3,1-3,0.0,1.0,36.0,25.0,25.0
150,石景山,2024-02-29,6.0,-4.0,多云,晴,1-3,1-3,0.0,4.0,21.0,25.0,13.0
151,石柱,2024-02-28,12.0,5.0,小雨,小雨,1-3,1-3,1.0,1.0,94.0,7.0,55.0
152,石景山,2024-03-01,5.0,-5.0,晴,晴,1-3,1-3,0.0,4.0,36.0,25.0,24.0
153,闵行,2024-02-24,2.0,0.0,雨夹雪,阴,1-3,1-3,5.1,1.0,88.0,24.0,15.0
154,石柱,2024-02-29,10.0,4.0,多云,小雨,1-3,1-3,1.0,1.0,88.0,13.0,55.0
155,闵行,2024-02-25,5.0,1.0,阴,阴,1-3,1-3,0.0,5.0,81.0,24.0,25.0
156,石柱,2024-03-01,9.0,2.0,阴,多云,1-3,1-3,1.0,1.0,84.0,20.0,55.0
157,闵行,2024-02-26,7.0,3.0,阴,阴,1-3,1-3,0.0,1.0,82.0,25.0,25.0
158,大港,2024-02-27,6.0,0.0,多云,阴,1-3,1-3,0.0,4.0,61.0,25.0,10.0
159,大足,2024-02-24,5.0,2.0,小雨,阴,1-3,1-3,1.0,2.0,85.0,24.0,55.0
160,大兴,2024-02-24,5.0,-5.0,多云,晴,1-3,1-3,0.0,2.0,50.0,25.0,5.0
161,闵行,2024-02-27,9.0,3.0,阴,多云,1-3,1-3,0.0,3.0,89.0,25.0,25.0
162,大港,2024-02-28,6.0,-1.0,阴,多云,1-3,1-3,0.0,1.0,59.0,25.0,25.0
163,大足,2024-02-25,7.0,2.0,多云,多云,1-3,1-3,0.0,4.0,77.0,24.0,25.0
164,大兴,2024-02-25,8.0,-5.0,晴,多云,1-3,1-3,0.0,4.0,60.0,25.0,19.0
165,大港,2024-02-29,5.0,-3.0,多云,晴,1-3,1-3,0.0,2.0,24.0,25.0,25.0
166,大港,2024-03-01,3.0,-3.0,多云,多云,1-3,3-4,0.0,4.0,42.0,25.0,24.0
167,闵行,2024-02-28,11.0,6.0,阴,中雨,1-3,1-3,5.1,1.0,95.0,23.0,80.0
168,蓟县,2024-02-24,4.0,-7.0,多云,晴,1-3,1-3,0.0,1.0,46.0,25.0,4.0
169,大兴,2024-02-26,5.0,-6.0,多云,多云,1-3,1-3,0.0,2.0,62.0,24.0,20.0
170,大兴,2024-02-27,6.0,-5.0,多云,多云,1-3,1-3,0.0,4.0,53.0,25.0,20.0
171,闵行,2024-02-29,10.0,3.0,中雨,多云,1-3,1-3,19.7,1.0,75.0,24.0,100.0
172,大足,2024-02-26,10.0,3.0,多云,阴,1-3,1-3,0.0,2.0,79.0,25.0,25.0
173,大兴,2024-02-28,7.0,-4.0,多云,多云,1-3,1-3,0.0,1.0,40.0,25.0,25.0
174,闵行,2024-03-01,8.0,1.0,多云,晴,1-3,1-3,0.0,1.0,64.0,25.0,25.0
175,大足,2024-02-27,12.0,7.0,多云,晴,1-3,1-3,0.0,3.0,78.0,24.0,25.0
176,宝山,2024-02-24,3.0,0.0,小雨,阴,3-4,1-3,2.2,1.0,85.0,20.0,63.0
177,蓟县,2024-02-25,6.0,-5.0,晴,晴,1-3,1-3,0.0,4.0,50.0,25.0,8.0
178,大足,2024-02-28,12.0,6.0,多云,小雨,1-3,1-3,1.0,2.0,86.0,24.0,55.0
179,大兴,2024-02-29,7.0,-5.0,多云,晴,1-3,1-3,0.0,4.0,21.0,25.0,17.0
180,宝山,2024-02-25,5.0,0.0,阴,阴,1-3,1-3,0.0,5.0,79.0,24.0,25.0
181,蓟县,2024-02-26,4.0,-6.0,多云,多云,1-3,1-3,0.0,2.0,71.0,22.0,20.0
182,大足,2024-02-29,14.0,6.0,多云,小雨,1-3,1-3,0.0,5.0,90.0,22.0,25.0
183,大兴,2024-03-01,5.0,-6.0,晴,晴,1-3,1-3,0.0,4.0,44.0,25.0,25.0
184,蓟县,2024-02-27,4.0,-5.0,多云,阴,1-3,1-3,0.0,3.0,67.0,25.0,25.0
185,大足,2024-03-01,13.0,6.0,多云,阴,1-3,1-3,1.0,3.0,89.0,24.0,55.0
186,房山,2024-02-24,5.0,-5.0,多云,晴,1-3,1-3,0.0,2.0,50.0,25.0,5.0
187,蓟县,2024-02-28,6.0,-6.0,阴,多云,1-3,1-3,0.0,2.0,57.0,25.0,24.0
188,宝山,2024-02-26,8.0,3.0,阴,多云,1-3,1-3,0.0,2.0,79.0,25.0,25.0
189,蓟县,2024-02-29,4.0,-8.0,多云,晴,1-3,1-3,0.0,4.0,23.0,25.0,25.0
190,宝山,2024-02-27,8.0,3.0,阴,多云,1-3,1-3,0.0,3.0,90.0,25.0,25.0
191,房山,2024-02-25,9.0,-5.0,晴,多云,1-3,1-3,0.0,4.0,57.0,25.0,19.0
192,荣昌,2024-02-24,7.0,3.0,小雨,阴,1-3,1-3,1.0,1.0,84.0,24.0,55.0
193,房山,2024-02-26,5.0,-6.0,多云,多云,1-3,1-3,0.0,2.0,64.0,24.0,20.0
194,蓟县,2024-03-01,2.0,-7.0,多云,多云,1-3,3-4,0.0,4.0,43.0,25.0,16.0
195,宝山,2024-02-28,10.0,6.0,阴,中雨,1-3,1-3,6.3,1.0,94.0,22.0,85.0
196,宝山,2024-02-29,10.0,3.0,中雨,阴,1-3,1-3,14.5,1.0,74.0,24.0,91.0
197,荣昌,2024-02-25,9.0,3.0,多云,多云,1-3,1-3,0.0,2.0,78.0,25.0,25.0
198,宝山,2024-03-01,8.0,1.0,多云,晴,1-3,1-3,0.0,3.0,64.0,25.0,25.0
199,房山,2024-02-27,6.0,-5.0,多云,多云,1-3,1-3,0.0,4.0,53.0,25.0,20.0
200,荣昌,2024-02-26,12.0,5.0,多云,阴,1-3,1-3,0.0,3.0,75.0,24.0,25.0
201,重庆,2024-02-24,7.0,6.0,小雨,多云,1-3,1-3,1.0,1.0,76.0,25.0,55.0
202,荣昌,2024-02-27,13.0,8.0,多云,多云,1-3,1-3,0.0,2.0,76.0,25.0,25.0
203,嘉定,2024-02-24,3.0,0.0,雨夹雪,阴,1-3,1-3,2.5,1.0,90.0,19.0,64.0
204,荣昌,2024-02-28,13.0,7.0,多云,小雨,1-3,1-3,0.0,2.0,83.0,24.0,25.0
205,嘉定,2024-02-25,5.0,0.0,阴,阴,1-3,1-3,0.0,5.0,80.0,24.0,25.0
206,嘉定,2024-02-26,7.0,2.0,阴,阴,1-3,1-3,0.0,2.0,83.0,25.0,25.0
207,荣昌,2024-02-29,15.0,6.0,小雨,小雨,1-3,1-3,1.0,5.0,87.0,21.0,55.0
208,荣昌,2024-03-01,14.0,7.0,多云,小雨,1-3,1-3,0.0,2.0,86.0,24.0,25.0
209,嘉定,2024-02-27,9.0,3.0,阴,多云,1-3,1-3,0.0,3.0,90.0,25.0,25.0
210,嘉定,2024-02-28,9.0,6.0,阴,中雨,1-3,1-3,6.3,1.0,95.0,23.0,85.0
211,铜梁,2024-02-24,7.0,3.0,小雨,阴,1-3,1-3,1.0,1.0,83.0,24.0,55.0
212,七台河,2024-02-24,-5.0,-19.0,多云,晴,1-3,1-3,0.0,3.0,94.0,24.0,0.0
213,重庆,2024-02-25,10.0,6.0,多云,多云,1-3,1-3,0.0,2.0,70.0,24.0,25.0
214,铜梁,2024-02-25,9.0,3.0,多云,多云,1-3,1-3,0.0,2.0,75.0,24.0,25.0
215,嘉定,2024-02-29,10.0,2.0,中雨,阴,1-3,1-3,14.5,1.0,76.0,24.0,91.0
216,重庆,2024-02-26,12.0,7.0,多云,阴,1-3,1-3,0.0,1.0,68.0,25.0,25.0
217,铜梁,2024-02-26,11.0,6.0,多云,阴,1-3,1-3,0.0,2.0,75.0,24.0,25.0
218,嘉定,2024-03-01,8.0,0.0,多云,晴,1-3,1-3,0.0,2.0,65.0,25.0,25.0
219,重庆,2024-02-27,14.0,8.0,多云,晴,1-3,1-3,0.0,2.0,70.0,25.0,25.0
220,南汇,2024-02-24,3.0,0.0,小雨,阴,1-3,1-3,2.1,1.0,84.0,22.0,62.0
221,铜梁,2024-02-27,13.0,8.0,多云,晴,1-3,1-3,0.0,2.0,78.0,24.0,25.0
222,南汇,2024-02-25,5.0,0.0,阴,阴,1-3,1-3,0.0,5.0,76.0,24.0,25.0
223,铜梁,2024-02-28,13.0,7.0,多云,小雨,1-3,1-3,1.0,1.0,84.0,24.0,55.0
224,重庆,2024-02-28,14.0,9.0,多云,小雨,1-3,1-3,1.0,1.0,77.0,25.0,55.0
225,铜梁,2024-02-29,14.0,7.0,多云,小雨,1-3,1-3,1.0,5.0,89.0,22.0,55.0
226,重庆,2024-02-29,15.0,9.0,多云,小雨,1-3,1-3,1.0,2.0,81.0,24.0,55.0
227,南汇,2024-02-26,8.0,3.0,阴,多云,1-3,1-3,0.0,1.0,77.0,25.0,25.0
228,南汇,2024-02-27,9.0,3.0,阴,阴,1-3,1-3,0.0,3.0,89.0,25.0,25.0
229,重庆,2024-03-01,14.0,8.0,多云,阴,1-3,1-3,1.0,2.0,80.0,24.0,55.0
230,铜梁,2024-03-01,14.0,7.0,多云,阴,1-3,1-3,1.0,2.0,86.0,24.0,55.0
231,南汇,2024-02-28,10.0,7.0,阴,中雨,1-3,1-3,0.0,1.0,95.0,24.0,25.0
232,永川,2024-02-24,6.0,4.0,小雨,多云,1-3,1-3,1.0,1.0,86.0,24.0,55.0
233,璧山,2024-02-24,6.0,4.0,小雨,多云,1-3,1-3,1.0,1.0,86.0,24.0,55.0
234,南汇,2024-02-29,10.0,4.0,中雨,多云,1-3,1-3,17.4,1.0,73.0,24.0,96.0
235,永川,2024-02-25,9.0,5.0,多云,多云,1-3,1-3,0.0,2.0,76.0,24.0,25.0
236,南汇,2024-03-01,8.0,1.0,多云,晴,1-3,1-3,0.0,2.0,62.0,25.0,25.0
237,金山,2024-02-24,2.0,0.0,雨夹雪,阴,1-3,1-3,5.1,1.0,87.0,24.0,25.0
238,璧山,2024-02-25,9.0,5.0,多云,多云,1-3,1-3,0.0,1.0,74.0,24.0,25.0
239,永川,2024-02-26,12.0,6.0,多云,阴,1-3,1-3,0.0,2.0,73.0,24.0,25.0
240,七台河,2024-02-25,-5.0,-18.0,晴,晴,1-3,1-3,0.0,3.0,88.0,16.0,0.0
241,璧山,2024-02-26,11.0,6.0,多云,阴,1-3,1-3,0.0,1.0,73.0,24.0,25.0
242,永川,2024-02-27,13.0,8.0,多云,多云,1-3,1-3,0.0,2.0,75.0,25.0,25.0
243,七台河,2024-02-26,-6.0,-19.0,晴,晴,1-3,1-3,0.0,3.0,93.0,24.0,0.0
244,璧山,2024-02-27,13.0,8.0,多云,晴,1-3,1-3,0.0,2.0,75.0,24.0,25.0
245,永川,2024-02-28,13.0,8.0,多云,小雨,1-3,1-3,1.0,2.0,82.0,24.0,55.0
246,七台河,2024-02-27,-5.0,-14.0,多云,多云,1-3,1-3,0.0,3.0,93.0,3.0,0.0
247,璧山,2024-02-28,13.0,8.0,多云,小雨,1-3,1-3,0.0,2.0,80.0,24.0,25.0
248,七台河,2024-02-28,-3.0,-12.0,阵雪,小雪,1-3,1-3,0.4,1.0,97.0,2.0,0.0
